21:11:08- Epoch 1/37, Loss: 21.5871, Accuracy: 0.9770
21:11:10- Epoch 2/37, Loss: 0.1542, Accuracy: 0.9714
21:11:12- Epoch 3/37, Loss: 0.1793, Accuracy: 0.9688
21:11:14- Epoch 4/37, Loss: 0.2778, Accuracy: 0.9685
21:11:16- Epoch 5/37, Loss: 0.1585, Accuracy: 0.9700
21:11:18- Epoch 6/37, Loss: 0.1550, Accuracy: 0.9704
21:11:20- Epoch 7/37, Loss: 0.1390, Accuracy: 0.9703
21:11:21- Epoch 8/37, Loss: 0.1445, Accuracy: 0.9704
21:11:23- Epoch 9/37, Loss: 0.1403, Accuracy: 0.9704
21:11:25- Epoch 10/37, Loss: 0.2803, Accuracy: 0.9703
21:11:27- Epoch 11/37, Loss: 0.1417, Accuracy: 0.9704
21:11:29- Epoch 12/37, Loss: 0.1540, Accuracy: 0.9703
21:11:32- Epoch 13/37, Loss: 0.1382, Accuracy: 0.9704
21:11:33- Epoch 14/37, Loss: 0.1485, Accuracy: 0.9704
21:11:36- Epoch 15/37, Loss: 0.1351, Accuracy: 0.9704
21:11:38- Epoch 16/37, Loss: 0.1827, Accuracy: 0.9704
21:11:40- Epoch 17/37, Loss: 0.1484, Accuracy: 0.9704
21:12:16- Epoch 1/25, Loss: 62.5162, Accuracy: 0.8665
21:12:18- Epoch 2/25, Loss: 2.5536, Accuracy: 0.9401
21:12:20- Epoch 3/25, Loss: 0.2538, Accuracy: 0.9327
21:12:22- Epoch 4/25, Loss: 0.4688, Accuracy: 0.8789
21:12:25- Epoch 5/25, Loss: 0.4229, Accuracy: 0.8735
21:12:27- Epoch 6/25, Loss: 0.3736, Accuracy: 0.8788
21:12:29- Epoch 7/25, Loss: 0.3818, Accuracy: 0.8782
21:12:31- Epoch 8/25, Loss: 0.3825, Accuracy: 0.8782
21:12:33- Epoch 9/25, Loss: 0.3788, Accuracy: 0.8787
21:12:35- Epoch 10/25, Loss: 0.4351, Accuracy: 0.8793
21:12:38- Epoch 11/25, Loss: 0.3778, Accuracy: 0.8779
21:12:40- Epoch 12/25, Loss: 0.4023, Accuracy: 0.8785
21:12:42- Epoch 13/25, Loss: 0.3711, Accuracy: 0.8781
21:12:45- Epoch 14/25, Loss: 0.3821, Accuracy: 0.8764
21:12:47- Epoch 15/25, Loss: 0.3870, Accuracy: 0.8787
21:12:50- Epoch 16/25, Loss: 0.3832, Accuracy: 0.8772
21:12:52- Epoch 17/25, Loss: 0.3700, Accuracy: 0.8801
21:12:55- Epoch 18/25, Loss: 0.3845, Accuracy: 0.8784
21:12:57- Epoch 19/25, Loss: 0.3699, Accuracy: 0.8842
21:13:00- Epoch 20/25, Loss: 0.3776, Accuracy: 0.8802
21:13:02- Epoch 21/25, Loss: 0.3695, Accuracy: 0.8784
21:13:04- Epoch 22/25, Loss: 0.3873, Accuracy: 0.8768
21:13:07- Epoch 23/25, Loss: 0.3822, Accuracy: 0.8778
21:13:09- Epoch 24/25, Loss: 0.3753, Accuracy: 0.8783
21:13:12- Epoch 25/25, Loss: 0.3835, Accuracy: 0.8780
21:13:12- Test Accuracy: 0.9983
21:13:16- Epoch 1/25, Loss: 1.0868, Accuracy: 0.8976
21:13:18- Epoch 2/25, Loss: 0.7381, Accuracy: 0.9317
21:13:20- Epoch 3/25, Loss: 0.6368, Accuracy: 0.9443
21:13:22- Epoch 4/25, Loss: 0.6756, Accuracy: 0.9459
21:13:25- Epoch 5/25, Loss: 0.6583, Accuracy: 0.9490
21:13:27- Epoch 6/25, Loss: 0.5714, Accuracy: 0.9525
21:13:29- Epoch 7/25, Loss: 0.6133, Accuracy: 0.9529
21:13:31- Epoch 8/25, Loss: 0.6023, Accuracy: 0.9549
21:13:34- Epoch 9/25, Loss: 0.5356, Accuracy: 0.9571
21:13:36- Epoch 10/25, Loss: 0.5989, Accuracy: 0.9563
21:13:38- Epoch 11/25, Loss: 0.5879, Accuracy: 0.9564
21:13:40- Epoch 12/25, Loss: 0.5239, Accuracy: 0.9598
21:13:43- Epoch 13/25, Loss: 0.5450, Accuracy: 0.9590
21:13:45- Epoch 14/25, Loss: 0.6026, Accuracy: 0.9582
21:13:47- Epoch 15/25, Loss: 0.5466, Accuracy: 0.9593
21:13:49- Epoch 16/25, Loss: 0.4874, Accuracy: 0.9610
21:13:52- Epoch 17/25, Loss: 0.5147, Accuracy: 0.9612
21:13:54- Epoch 18/25, Loss: 0.5517, Accuracy: 0.9608
21:13:56- Epoch 19/25, Loss: 0.5310, Accuracy: 0.9623
21:13:59- Epoch 20/25, Loss: 0.5191, Accuracy: 0.9621
21:14:01- Epoch 21/25, Loss: 0.5273, Accuracy: 0.9617
21:14:03- Epoch 22/25, Loss: 0.5629, Accuracy: 0.9618
21:14:06- Epoch 23/25, Loss: 0.5324, Accuracy: 0.9624
21:14:08- Epoch 24/25, Loss: 0.5355, Accuracy: 0.9628
21:14:10- Epoch 25/25, Loss: 0.5288, Accuracy: 0.9627
21:14:11- Test Accuracy: 0.9951
21:14:14- Epoch 1/25, Loss: 9.5002, Accuracy: 0.9267
21:14:16- Epoch 2/25, Loss: 0.4963, Accuracy: 0.9523
21:14:19- Epoch 3/25, Loss: 0.4499, Accuracy: 0.9595
21:14:21- Epoch 4/25, Loss: 0.4507, Accuracy: 0.9605
21:14:23- Epoch 5/25, Loss: 0.4344, Accuracy: 0.9626
21:14:25- Epoch 6/25, Loss: 0.4114, Accuracy: 0.9648
21:14:28- Epoch 7/25, Loss: 0.3997, Accuracy: 0.9663
21:14:30- Epoch 8/25, Loss: 0.4106, Accuracy: 0.9661
21:14:32- Epoch 9/25, Loss: 0.3718, Accuracy: 0.9675
21:14:34- Epoch 10/25, Loss: 0.3809, Accuracy: 0.9683
21:14:37- Epoch 11/25, Loss: 0.3923, Accuracy: 0.9678
21:14:39- Epoch 12/25, Loss: 0.3426, Accuracy: 0.9694
21:14:41- Epoch 13/25, Loss: 0.4090, Accuracy: 0.9682
21:14:44- Epoch 14/25, Loss: 0.4153, Accuracy: 0.9696
21:14:46- Epoch 15/25, Loss: 0.3627, Accuracy: 0.9700
21:14:48- Epoch 16/25, Loss: 0.3750, Accuracy: 0.9697
21:14:50- Epoch 17/25, Loss: 0.3877, Accuracy: 0.9697
21:14:52- Epoch 18/25, Loss: 0.3260, Accuracy: 0.9709
21:14:55- Epoch 19/25, Loss: 0.4209, Accuracy: 0.9692
21:14:57- Epoch 20/25, Loss: 0.3161, Accuracy: 0.9718
21:14:59- Epoch 21/25, Loss: 0.3843, Accuracy: 0.9703
21:15:02- Epoch 22/25, Loss: 0.3377, Accuracy: 0.9719
21:15:04- Epoch 23/25, Loss: 0.4060, Accuracy: 0.9705
21:15:06- Epoch 24/25, Loss: 0.3475, Accuracy: 0.9715
21:15:08- Epoch 25/25, Loss: 0.3613, Accuracy: 0.9708
21:15:09- Test Accuracy: 0.9985
21:15:13- Epoch 1/25, Loss: 6.7165, Accuracy: 0.8600
21:15:15- Epoch 2/25, Loss: 5.0280, Accuracy: 0.9017
21:15:17- Epoch 3/25, Loss: 4.5418, Accuracy: 0.9183
21:15:20- Epoch 4/25, Loss: 4.0129, Accuracy: 0.9272
21:15:22- Epoch 5/25, Loss: 3.5618, Accuracy: 0.9355
21:15:24- Epoch 6/25, Loss: 3.5708, Accuracy: 0.9385
21:15:27- Epoch 7/25, Loss: 3.1117, Accuracy: 0.9433
21:15:29- Epoch 8/25, Loss: 3.2167, Accuracy: 0.9449
21:15:31- Epoch 9/25, Loss: 3.1203, Accuracy: 0.9472
21:15:33- Epoch 10/25, Loss: 3.1041, Accuracy: 0.9488
21:15:36- Epoch 11/25, Loss: 2.9716, Accuracy: 0.9505
21:15:38- Epoch 12/25, Loss: 2.9491, Accuracy: 0.9513
21:15:40- Epoch 13/25, Loss: 2.8311, Accuracy: 0.9527
21:15:42- Epoch 14/25, Loss: 2.8900, Accuracy: 0.9531
21:15:44- Epoch 15/25, Loss: 2.8109, Accuracy: 0.9541
21:15:46- Epoch 16/25, Loss: 2.8218, Accuracy: 0.9541
21:15:48- Epoch 17/25, Loss: 2.6229, Accuracy: 0.9545
21:15:50- Epoch 18/25, Loss: 2.7447, Accuracy: 0.9557
21:15:53- Epoch 19/25, Loss: 2.4305, Accuracy: 0.9559
21:15:55- Epoch 20/25, Loss: 2.8732, Accuracy: 0.9555
21:15:57- Epoch 21/25, Loss: 2.5973, Accuracy: 0.9568
21:15:59- Epoch 22/25, Loss: 2.6229, Accuracy: 0.9562
21:16:01- Epoch 23/25, Loss: 2.5181, Accuracy: 0.9571
21:16:03- Epoch 24/25, Loss: 2.5849, Accuracy: 0.9571
21:16:05- Epoch 25/25, Loss: 2.4091, Accuracy: 0.9575
21:16:05- Test Accuracy: 0.9953
21:16:08- Epoch 1/25, Loss: 19.6957, Accuracy: 0.9775
21:16:10- Epoch 2/25, Loss: 0.1400, Accuracy: 0.9974
21:16:12- Epoch 3/25, Loss: 0.1666, Accuracy: 0.9978
21:16:14- Epoch 4/25, Loss: 0.1734, Accuracy: 0.9977
21:16:16- Epoch 5/25, Loss: 0.1591, Accuracy: 0.9979
21:16:18- Epoch 6/25, Loss: 0.1391, Accuracy: 0.9982
21:16:19- Epoch 7/25, Loss: 0.1218, Accuracy: 0.9980
21:16:21- Epoch 8/25, Loss: 0.1411, Accuracy: 0.9982
21:16:23- Epoch 9/25, Loss: 0.1271, Accuracy: 0.9982
21:16:25- Epoch 10/25, Loss: 0.1626, Accuracy: 0.9980
21:16:27- Epoch 11/25, Loss: 0.1196, Accuracy: 0.9983
21:16:29- Epoch 12/25, Loss: 0.1532, Accuracy: 0.9979
21:16:31- Epoch 13/25, Loss: 0.1201, Accuracy: 0.9979
21:16:33- Epoch 14/25, Loss: 0.1267, Accuracy: 0.9981
21:16:34- Epoch 15/25, Loss: 0.1396, Accuracy: 0.9981
21:16:36- Epoch 16/25, Loss: 0.1157, Accuracy: 0.9982
21:16:38- Epoch 17/25, Loss: 0.1390, Accuracy: 0.9981
21:16:40- Epoch 18/25, Loss: 0.1169, Accuracy: 0.9981
21:16:42- Epoch 19/25, Loss: 0.1493, Accuracy: 0.9981
21:16:44- Epoch 20/25, Loss: 0.1496, Accuracy: 0.9980
21:16:45- Epoch 21/25, Loss: 0.1185, Accuracy: 0.9983
21:16:47- Epoch 22/25, Loss: 0.1030, Accuracy: 0.9984
21:16:49- Epoch 23/25, Loss: 0.1220, Accuracy: 0.9983
21:16:51- Epoch 24/25, Loss: 0.1524, Accuracy: 0.9981
21:16:52- Epoch 25/25, Loss: 0.1053, Accuracy: 0.9983
21:16:53- Test Accuracy: 0.9985
21:16:56- Epoch 1/25, Loss: 16.4843, Accuracy: 0.8649
21:16:58- Epoch 2/25, Loss: 8.0585, Accuracy: 0.9069
21:17:00- Epoch 3/25, Loss: 6.2294, Accuracy: 0.9281
21:17:02- Epoch 4/25, Loss: 6.3060, Accuracy: 0.9323
21:17:04- Epoch 5/25, Loss: 5.0343, Accuracy: 0.9407
21:17:06- Epoch 6/25, Loss: 4.7750, Accuracy: 0.9438
21:17:08- Epoch 7/25, Loss: 4.6684, Accuracy: 0.9462
21:17:10- Epoch 8/25, Loss: 3.9415, Accuracy: 0.9489
21:17:13- Epoch 9/25, Loss: 4.1662, Accuracy: 0.9487
21:17:15- Epoch 10/25, Loss: 3.8886, Accuracy: 0.9500
21:17:17- Epoch 11/25, Loss: 3.4843, Accuracy: 0.9516
21:17:19- Epoch 12/25, Loss: 3.1061, Accuracy: 0.9533
21:17:21- Epoch 13/25, Loss: 3.1033, Accuracy: 0.9529
21:17:23- Epoch 14/25, Loss: 2.8245, Accuracy: 0.9541
21:17:25- Epoch 15/25, Loss: 2.5326, Accuracy: 0.9550
21:17:27- Epoch 16/25, Loss: 2.4042, Accuracy: 0.9547
21:17:29- Epoch 17/25, Loss: 2.1510, Accuracy: 0.9557
21:17:31- Epoch 18/25, Loss: 2.7000, Accuracy: 0.9551
21:17:33- Epoch 19/25, Loss: 2.3284, Accuracy: 0.9561
21:17:35- Epoch 20/25, Loss: 2.1891, Accuracy: 0.9551
21:17:37- Epoch 21/25, Loss: 1.5528, Accuracy: 0.9589
21:17:39- Epoch 22/25, Loss: 1.6798, Accuracy: 0.9577
21:17:41- Epoch 23/25, Loss: 1.5834, Accuracy: 0.9580
21:17:43- Epoch 24/25, Loss: 1.5967, Accuracy: 0.9571
21:17:45- Epoch 25/25, Loss: 1.1304, Accuracy: 0.9598
21:17:45- Test Accuracy: 0.9899
21:17:48- Epoch 1/25, Loss: 22.8203, Accuracy: 0.9611
