criterion,splitter,max_depth,max_features,random_state,ccp_alpha,min_impurity_decrease,test_size,train_acc,test_acc
log_loss,best,None,15,25939,0.0,0.0,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,0.0,0.0,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,0.0,0.0,0.3,0.9999874601074669,0.9991661058606666
log_loss,best,None,None,25939,0.0,1e-05,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,0.0,1e-05,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,0.0,1e-05,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,0.0,1e-05,0.3,0.9999874601074669,0.9991661058606666
log_loss,best,None,None,25939,1e-05,0.0,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,1e-05,0.0,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,1e-05,0.0,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,1e-05,0.0,0.3,0.9999874601074669,0.9991661058606666
log_loss,best,None,None,25939,1e-05,1e-05,0.3,1.0,0.9993270327998361
log_loss,best,None,15,25939,1e-05,1e-05,0.3,1.0,0.9991368464171811
log_loss,best,15,None,25939,1e-05,1e-05,0.3,0.9999561103761341,0.9993416625215789
log_loss,best,15,15,25939,1e-05,1e-05,0.3,0.9999874601074669,0.9991661058606666
log_loss,random,None,None,25939,0.0,0.0,0.3,1.0,0.9988735114258127
log_loss,random,None,15,25939,0.0,0.0,0.3,1.0,0.9992977733563507
log_loss,random,15,None,25939,0.0,0.0,0.3,0.999899680859735,0.9991514761389239
log_loss,random,15,15,25939,0.0,0.0,0.3,0.9998808710209354,0.9993270327998361
log_loss,random,None,None,25939,0.0,1e-05,0.3,0.9998244415045363,0.9991661058606666
log_loss,random,None,15,25939,0.0,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,random,15,None,25939,0.0,1e-05,0.3,0.9997805518806704,0.9992246247476373
log_loss,random,15,15,25939,0.0,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,random,None,None,25939,1e-05,0.0,0.3,1.0,0.9988735114258127
log_loss,random,None,15,25939,1e-05,0.0,0.3,0.9999749202149337,0.9993124030780934
log_loss,random,15,None,25939,1e-05,0.0,0.3,0.999899680859735,0.9991514761389239
log_loss,random,15,15,25939,1e-05,0.0,0.3,0.9998808710209354,0.9993270327998361
log_loss,random,None,None,25939,1e-05,1e-05,0.3,0.9998244415045363,0.9991661058606666
log_loss,random,None,15,25939,1e-05,1e-05,0.3,0.9996363431165395,0.9994148111302923
log_loss,random,15,None,25939,1e-05,1e-05,0.3,0.9997805518806704,0.9992246247476373
log_loss,random,15,15,25939,1e-05,1e-05,0.3,0.9996363431165395,0.9994148111302923
